algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ1,DTLZ,3,7,4018,0.02738398543827453,0.8250616083020758,2.5630160000000037
IVFNSGAII,DTLZ1,DTLZ,3,7,4019,0.025253059958310568,0.8295682147968431,2.5901150000000017
IVFNSGAII,DTLZ1,DTLZ,3,7,4020,0.027791516366463886,0.8257692477828458,1.8096910000000006
IVFNSGAII,DTLZ1,DTLZ,3,7,4021,0.026594443094479343,0.8313611468311345,1.8408349999999989
IVFNSGAII,DTLZ1,DTLZ,3,7,4022,0.02854579230915822,0.824578360191969,2.3300550000000007
IVFNSGAII,DTLZ1,DTLZ,3,7,4023,0.02581819849684235,0.8295010955213431,1.8448449999999994
IVFNSGAII,DTLZ1,DTLZ,3,7,4024,0.026015816394448034,0.8241485545267767,1.797450000000001
IVFNSGAII,DTLZ1,DTLZ,3,7,4025,0.02679704264650409,0.8267908596936034,1.8321459999999972
IVFNSGAII,DTLZ1,DTLZ,3,7,4026,0.026509957403300678,0.8241398804999376,1.5142050000000016
IVFNSGAII,DTLZ1,DTLZ,3,7,4027,0.027813875942030344,0.8229997049414417,1.5325950000000024
IVFNSGAII,DTLZ1,DTLZ,3,7,4028,0.026108418779257084,0.8291555421049193,1.6446049999999983
IVFNSGAII,DTLZ1,DTLZ,3,7,4029,0.026632000265150845,0.8280351491748088,1.9753329999999987
IVFNSGAII,DTLZ1,DTLZ,3,7,4030,0.029135221931619285,0.8245292271088912,2.2368029999999997
IVFNSGAII,DTLZ2,DTLZ,2,11,4001,0.004965120692360764,0.346614073174849,2.3774719999999987
IVFNSGAII,DTLZ2,DTLZ,2,11,4002,0.005050239559229094,0.3466511269402866,2.190020000000003
IVFNSGAII,DTLZ2,DTLZ,2,11,4003,0.005203989662893907,0.34641950969974494,2.5464339999999988
IVFNSGAII,DTLZ2,DTLZ,2,11,4004,0.005411147087152182,0.3466922054071464,2.459971999999998
IVFNSGAII,DTLZ2,DTLZ,2,11,4005,0.0048727626392106324,0.34647611437142856,2.226890000000002
IVFNSGAII,DTLZ2,DTLZ,2,11,4006,0.0051543551767989325,0.3463920898078967,2.299714000000006
IVFNSGAII,DTLZ2,DTLZ,2,11,4007,0.004932876650356216,0.3468018500565632,2.0795019999999975
IVFNSGAII,DTLZ2,DTLZ,2,11,4008,0.005138512778833906,0.3465376894252946,2.8019779999999974
